Year Built,Square Footage,Bedrooms,Bathrooms,Stories,List Price,Sold Price,List Date,Sold Date,Postal Code,City,State,Property Type,Tags,County
1947.0,3108.0,4.0,4.0,3.0,1195000.0,1251000.0,2023-07-10T07:25:05Z,2023-08-04,30318,Atlanta,GA,single_family,"central_air, central_heat, community_outdoor_space, den_or_office, dishwasher, family_room, fireplace, hardwood_floors, laundry_room, recreation_facilities, washer_dryer, basement, two_or_more_stories, garage_1_or_more, ensuite",Fulton
1920.0,1005.0,1.0,2.0,2.0,399900.0,399900.0,2023-07-06T16:53:12Z,2023-08-04,30308,Atlanta,GA,condos,"central_air, central_heat, community_gym, community_outdoor_space, community_security_features, dishwasher, laundry_room, recreation_facilities, two_or_more_stories, high_ceiling, floor_plan, trails, shopping",Fulton
2014.0,4988.0,6.0,6.0,2.0,2279000.0,2249000.0,2023-06-23T18:23:03Z,2023-08-04,30306,Atlanta,GA,single_family,"central_air, central_heat, community_outdoor_space, community_security_features, dishwasher, fireplace, hardwood_floors, laundry_room, recreation_facilities, washer_dryer, basement, two_or_more_stories, garage_1_or_more, garage_2_or_more, coffer_ceiling, ensuite",Fulton
1963.0,4000.0,5.0,5.0,2.0,785000.0,740000.0,2023-07-05T22:53:11Z,2023-08-04,30311,Atlanta,GA,single_family,"central_air, central_heat, community_outdoor_space, dishwasher, family_room, fireplace, game_room, hardwood_floors, laundry_room, basement, two_or_more_stories, garage_1_or_more, garage_2_or_more, gourmet_kitchen, ensuite, water_view, groundscare, medicalcare",Fulton
2005.0,1936.0,3.0,3.0,2.0,325000.0,320000.0,2023-05-29T06:09:34Z,2023-08-04,30349,Atlanta,GA,single_family,"dishwasher, family_room, fireplace, forced_air, laundry_room, washer_dryer, two_or_more_stories, garage_1_or_more, open_floor_plan, floor_plan, ensuite, park, trails, shopping",Fulton
1940.0,,4.0,3.0,2.0,499999.0,515000.0,2023-06-15T15:06:13Z,2023-08-04,30310,Atlanta,GA,single_family,"central_air, central_heat, community_outdoor_space, community_security_features, dishwasher, energy_efficient, family_room, hardwood_floors, laundry_room, recreation_facilities, two_or_more_stories, big_yard, master_suite, media_room, rental_property, shopping",Fulton
2005.0,706.0,1.0,1.0,1.0,315000.0,300000.0,2023-06-01T13:15:12Z,2023-08-04,30326,Atlanta,GA,condos,"central_air, city_view, community_clubhouse, community_gym, community_outdoor_space, community_security_features, dishwasher, energy_efficient, family_room, forced_air, hardwood_floors, laundry_room, recreation_facilities, tennis_court, view, community_swimming_pool, single_story, modern_kitchen, open_kitchen, floor_plan, rental_property",Fulton
2020.0,2117.0,4.0,2.0,1.0,340000.0,332500.0,2023-07-20T08:05:39Z,2023-08-04,30349,Atlanta,GA,single_family,"central_air, central_heat, city_view, community_tennis_court, dishwasher, fireplace, hardwood_floors, laundry_room, recreation_facilities, tennis_court, view, community_swimming_pool, single_story, garage_1_or_more, garage_2_or_more, open_floor_plan, floor_plan, rental_property, farm, ranch, smart_homes, playground, tennis, shopping",Fulton
2005.0,1326.0,3.0,4.0,3.0,385000.0,385000.0,2023-06-19T17:55:27Z,2023-08-04,30318,Atlanta,GA,townhomes,"central_air, community_clubhouse, community_outdoor_space, community_security_features, dishwasher, energy_efficient, family_room, forced_air, hardwood_floors, laundry_room, recreation_facilities, tennis_court, washer_dryer, community_swimming_pool, basement, two_or_more_stories, garage_1_or_more, private_bathroom, front_porch, ensuite, gated_community, smart_homes, park, hoa, security",Fulton
1920.0,1200.0,3.0,1.0,1.0,130000.0,120000.0,2023-05-18T16:12:10Z,2023-08-04,30310,Atlanta,GA,single_family,"city_view, community_outdoor_space, fireplace, laundry_room, view, single_story",Fulton
