,Year Built,Square Footage,lot sqft,Bedrooms,Bathrooms,Stories,List Price,Sold Price,List Date,Sold Date,Postal Code,City,lon,lat,State,Property Type,Tags,County
2050,2014.0,2352.0,1525.0,4.0,4.0,2.0,633000.0,615000.0,2023-04-28T20:59:29Z,2023-06-15,30328,Atlanta,-84.36322,33.915437,GA,townhomes,"central_air, central_heat, community_outdoor_space, community_security_features, den_or_office, dishwasher, fireplace, hardwood_floors, laundry_room, recreation_facilities, two_or_more_stories, garage_1_or_more, garage_2_or_more, private_backyard, fenced_yard, high_ceiling, coffer_ceiling, gated_community, park, security, shopping",
2051,1960.0,2746.0,21780.0,4.0,2.0,1.0,850000.0,961000.0,2023-05-24T14:14:17Z,2023-06-15,30345,Atlanta,-84.285229,33.847008,GA,single_family,"carport, central_air, central_heat, community_outdoor_space, dishwasher, family_room, fireplace, game_room, hardwood_floors, laundry_room, recreation_facilities, spa_or_hot_tub, community_swimming_pool, swimming_pool, single_story, updated_kitchen, ensuite, beach, groundscare",
2052,1925.0,1452.0,9845.0,3.0,2.0,1.0,800000.0,750000.0,2023-05-04T17:56:03Z,2023-06-15,30305,Atlanta,-84.386738,33.818264,GA,single_family,"central_air, central_heat, city_view, community_outdoor_space, dishwasher, fireplace, hardwood_floors, laundry_room, view, washer_dryer, basement, single_story, fenced_yard, front_porch, ensuite, shopping",
2053,1961.0,2824.0,21780.0,4.0,3.0,1.0,650000.0,687000.0,2023-05-23T13:39:01Z,2023-06-15,30345,Atlanta,-84.264893,33.848125,GA,single_family,"central_air, community_outdoor_space, dishwasher, family_room, fireplace, hardwood_floors, laundry_room, recreation_facilities, basement, single_story, garage_1_or_more, garage_2_or_more, private_backyard, floor_plan, park, groundscare, shopping",
2054,1940.0,1823.0,13068.0,3.0,4.0,2.0,715000.0,707500.0,2023-05-16T14:03:11Z,2023-06-15,30307,Atlanta,-84.310771,33.790848,GA,single_family,"community_outdoor_space, community_security_features, dishwasher, family_room, fireplace, forced_air, hardwood_floors, laundry_room, recreation_facilities, basement, two_or_more_stories, garage_1_or_more, updated_kitchen, big_yard, vaulted_ceiling, floor_plan, big_lot, shopping",
2055,2005.0,1958.0,871.0,3.0,4.0,3.0,495000.0,495000.0,2023-05-11T19:16:05Z,2023-06-15,30312,Atlanta,-84.36223,33.730895,GA,townhomes,"central_air, community_outdoor_space, community_security_features, dishwasher, energy_efficient, family_room, fireplace, forced_air, hardwood_floors, laundry_room, recreation_facilities, basement, two_or_more_stories, garage_1_or_more",
2056,1970.0,3571.0,21780.0,5.0,4.0,2.0,950000.0,990000.0,2023-05-25T14:11:09Z,2023-06-15,30329,Atlanta,-84.323315,33.809804,GA,single_family,"carport, central_air, community_outdoor_space, community_security_features, dishwasher, family_room, fireplace, hardwood_floors, laundry_room, recreation_facilities, basement, two_or_more_stories, floor_plan, farm, park, views, medicalcare",
2057,2019.0,2760.0,1133.0,4.0,5.0,3.0,995000.0,1150000.0,2023-05-18T20:57:51Z,2023-06-15,30319,Atlanta,-84.351872,33.854459,GA,townhomes,"central_air, central_heat, city_view, community_outdoor_space, community_security_features, dishwasher, family_room, fireplace, hardwood_floors, laundry_room, view, basement, two_or_more_stories, garage_1_or_more, garage_2_or_more, gourmet_kitchen, open_floor_plan, floor_plan, ensuite, shopping",
2058,1983.0,1538.0,4356.0,3.0,3.0,2.0,549900.0,549900.0,2023-05-23T21:36:03Z,2023-06-15,30306,Atlanta,-84.342567,33.793549,GA,townhomes,"central_air, community_outdoor_space, dishwasher, family_room, fireplace, forced_air, hardwood_floors, laundry_room, two_or_more_stories, updated_kitchen, fenced_yard, no_hoa, guest_parking, medicalcare, shopping",
2059,2015.0,5199.0,18060.0,5.0,7.0,3.0,2600000.0,2268200.0,2023-06-01T22:00:22Z,2023-06-15,30342,Atlanta,-84.371237,33.854717,GA,single_family,"central_air, central_heat, community_outdoor_space, community_security_features, den_or_office, dishwasher, family_room, fireplace, forced_air, hardwood_floors, laundry_room, basement, two_or_more_stories, garage_1_or_more, garage_2_or_more, garage_3_or_more, modern_kitchen, outdoor_kitchen, high_ceiling, ensuite, smart_homes, shopping",
